n,error_max,cond,time_s,memory_kb
2,0.000000e+00,3.000000e+00,2.157080e-04,4.843750e+00
12,8.437695e-15,1.668222e+02,1.707792e-03,7.343750e+00
22,3.641532e-14,5.732795e+02,4.293667e-03,1.140625e+01
32,5.861978e-14,1.222337e+03,8.980417e-03,1.703125e+01
42,7.283063e-14,2.113993e+03,1.372604e-02,2.819531e+01
52,1.998401e-13,3.248247e+03,2.000217e-02,4.296094e+01
62,2.002842e-13,4.625100e+03,2.992000e-02,6.085156e+01
72,2.206013e-13,6.244550e+03,3.992787e-02,8.186719e+01
82,3.035350e-13,8.106599e+03,5.111854e-02,1.060078e+02
92,6.887824e-13,1.021125e+04,1.003485e-01,1.332734e+02
102,6.008527e-13,1.255849e+04,7.641225e-02,1.636641e+02
112,6.283862e-13,1.514834e+04,9.048383e-02,1.971797e+02
122,6.442624e-13,1.798078e+04,1.074511e-01,2.338203e+02
132,7.451817e-13,2.105582e+04,1.257968e-01,2.735859e+02
142,1.183498e-12,2.437345e+04,1.445330e-01,3.164766e+02
